"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000087086.15","ENSG00000087086.15",0.330099838486934,1.39110700754972,0.0334918329820265,"91","130","0.718851960757057",0.568168472748625,0.0205455079192437,"ENSG00000087086","FTL","ferritin light chain"
"ENSG00000113140.11","ENSG00000113140.11",0.579212448316496,1.7846323869159,0.0300644935878166,"21","200","0.560339489147198",0.527945337105642,0.0136399957183588,"ENSG00000113140","SPARC","secreted protein acidic and cysteine rich"
"ENSG00000102265.12","ENSG00000102265.12",0.791493447332772,2.20668954120656,0.0122824934538428,"18","203","0.453167507855784",0.530961405007206,0.0117958348595818,"ENSG00000102265","TIMP1","TIMP metallopeptidase inhibitor 1"
"ENSG00000160307.10","ENSG00000160307.10",0.322019798028349,1.37991209522559,0.0371099633439813,"92","129","0.724683842876612",0.537473976405274,0.0219801936847255,"ENSG00000160307","S100B","S100 calcium binding protein B"
"ENSG00000189058.9","ENSG00000189058.9",0.650537502538011,1.91657071382921,0.0059958497800948,"195","26","0.521765251229396",0.53112155020552,0.0137725331651203,"ENSG00000189058","APOD","apolipoprotein D"
"ENSG00000162493.16","ENSG00000162493.16",0.718012258169001,2.05035358377784,0.0214014270496664,"21","200","0.487720756025635",0.524155234078898,0.0141582056900755,"ENSG00000162493","PDPN","podoplanin"
"ENSG00000100097.12","ENSG00000100097.12",0.458630068854277,1.58190539845158,0.0373261584998278,"37","184","0.632149053273875",0.534831580633107,0.0160756342851505,"ENSG00000100097","LGALS1","galectin 1"
"ENSG00000135916.16","ENSG00000135916.16",0.429858795560045,1.53704047128533,0.00593675351857295,"125","96","0.650600955981179",0.541450915496717,0.0217171701134705,"ENSG00000135916","ITM2C","integral membrane protein 2C"
"ENSG00000272398.6","ENSG00000272398.6",-0.408823315810636,0.664431616513498,0.0101803310517498,"142","79","1.50504577919899",0.568622217477179,0.0202115522045721,"ENSG00000272398","CD24","CD24 molecule"
"ENSG00000148303.17","ENSG00000148303.17",-0.694031408719095,0.499558081327686,0.0184371244751442,"201","20","2.00176923840823",0.517856189611915,0.0143544835348221,"ENSG00000148303","RPL7A","ribosomal protein L7a"
"ENSG00000142541.18","ENSG00000142541.18",-0.694940908825032,0.499103939752007,0.0175019008664031,"200","21","2.00359067591588",0.529653552554316,0.0132222880645428,"ENSG00000142541","RPL13A","ribosomal protein L13a"
"ENSG00000197747.9","ENSG00000197747.9",1.27300589918447,3.57157222921627,0.0313285286397953,"6","215","0.279988737682462",0.515534084236374,0.00732349620949404,"ENSG00000197747","S100A10","S100 calcium binding protein A10"
"ENSG00000198034.11","ENSG00000198034.11",-0.561717594544239,0.570228800365726,0.00513793895459512,"175","46","1.7536820296671",0.539742700048044,0.0183233173755479,"ENSG00000198034","RPS4X","ribosomal protein S4 X-linked"
"ENSG00000135506.16","ENSG00000135506.16",0.355907168036588,1.42747502680337,0.0294909801334826,"80","141","0.700537649502255",0.530667805476966,0.02190003347729,"ENSG00000135506","OS9","OS9 endoplasmic reticulum lectin"
"ENSG00000177600.9","ENSG00000177600.9",-0.58480087112414,0.557216808722172,0.0236206602436087,"195","26","1.79463358668816",0.529466716489617,0.0140271437078292,"ENSG00000177600","RPLP2","ribosomal protein lateral stalk subunit P2"
"ENSG00000142937.12","ENSG00000142937.12",-0.863287256984684,0.421773323660878,0.00310269245157342,"197","24","2.37094179243076",0.538328084129611,0.0137597719699328,"ENSG00000142937","RPS8","ribosomal protein S8"
"ENSG00000168653.11","ENSG00000168653.11",-0.341256861492455,0.710876288009077,0.0383406652116047,"153","68","1.40671452525257",0.556184273741526,0.0195202903007095,"ENSG00000168653","NDUFS5","NADH:ubiquinone oxidoreductase subunit S5"
"ENSG00000083845.9","ENSG00000083845.9",-0.63200711376307,0.531523900730173,9.01895490876518e-05,"124","97","1.88138294181365",0.562082955212726,0.0217571285703086,"ENSG00000083845","RPS5","ribosomal protein S5"
"ENSG00000145425.10","ENSG00000145425.10",-0.582972782744636,0.558236381946099,0.0320640784254848,"199","22","1.79135583480576",0.529012971761063,0.0136076112032946,"ENSG00000145425","RPS3A","ribosomal protein S3A"
"ENSG00000122406.14","ENSG00000122406.14",-0.838294663770437,0.432447363126511,0.0113953419647465,"205","16","2.3124201585372",0.52885282656275,0.011806940391636,"ENSG00000122406","RPL5","ribosomal protein L5"
"ENSG00000118181.11","ENSG00000118181.11",-0.778891326815519,0.458914515588008,0.00569729638367826,"198","23","2.17905506588454",0.541530988095874,0.0124536845620076,"ENSG00000118181","RPS25","ribosomal protein S25"
"ENSG00000041982.16","ENSG00000041982.16",0.413688433549438,1.51238584478082,0.0428790077477526,"39","182","0.661206929072337",0.525676613462873,0.0176776060309963,"ENSG00000041982","TNC","tenascin C"
"ENSG00000126432.14","ENSG00000126432.14",-0.413413543034248,0.66138871356999,0.0272455322146015,"175","46","1.51197016139311",0.533096674318048,0.0192468010370319,"ENSG00000126432","PRDX5","peroxiredoxin 5"
"ENSG00000122176.12","ENSG00000122176.12",0.421089744413111,1.5236210087465,0.019621132038699,"57","164","0.656331196707972",0.532402711792025,0.0200061086265772,"ENSG00000122176","FMOD","fibromodulin"
"ENSG00000164733.22","ENSG00000164733.22",0.493669534129752,1.63831706345138,0.00154917739755991,"91","130","0.61038246033606",0.579218491432232,0.0206270787537687,"ENSG00000164733","CTSB","cathepsin B"
"ENSG00000120738.8","ENSG00000120738.8",0.33243457654802,1.39435867244312,0.0300657939738643,"109","112","0.717175587431787",0.530801259808893,0.0223075571619482,"ENSG00000120738","EGR1","early growth response 1"
"ENSG00000108298.12","ENSG00000108298.12",-0.959817776442135,0.382962664436522,0.00816519970922604,"205","16","2.61122060415828",0.532642929589495,0.0112472277294505,"ENSG00000108298","RPL19","ribosomal protein L19"
"ENSG00000106624.11","ENSG00000106624.11",1.50176170037642,4.4895914224048,0.0101296465052993,"9","212","0.222737417710131",0.523354508087333,0.00990405534642093,"ENSG00000106624","AEBP1","AE binding protein 1"
"ENSG00000044574.8","ENSG00000044574.8",0.418851407859125,1.52021444608735,0.00692405177592448,"126","95","0.657801932203544",0.544573746863823,0.021674807017069,"ENSG00000044574","HSPA5","heat shock protein family A (Hsp70) member 5"
"ENSG00000103363.15","ENSG00000103363.15",0.706432696685375,2.02674832144573,0.00740644643066433,"205","16","0.493401173406018",0.53213580312817,0.0134292719438146,"ENSG00000103363","ELOB","elongin B"
"ENSG00000170315.14","ENSG00000170315.14",0.655138425347174,1.92540902434292,0.0235889444846994,"20","201","0.519370163615633",0.528906208295521,0.013821028222687,"ENSG00000170315","UBB","ubiquitin B"
"ENSG00000213719.8","ENSG00000213719.8",1.23329211683255,3.43251118369555,0.0349174590464332,"7","214","0.291331898567442",0.518069716542999,0.00757805397446066,"ENSG00000213719","CLIC1","chloride intracellular channel 1"
"ENSG00000125743.10","ENSG00000125743.10",-0.801041322228545,0.448861311409795,0.0213113213277071,"207","14","2.22785964078565",0.518309934340469,0.0127262411485681,"ENSG00000125743","SNRPD2","small nuclear ribonucleoprotein D2 polypeptide"
"ENSG00000113732.9","ENSG00000113732.9",0.32056436448117,1.37790518568605,0.045733797361483,"77","144","0.725739339969252",0.53290983825335,0.0215347367535699,"ENSG00000113732","ATP6V0E1","ATPase H+ transporting V0 subunit e1"
"ENSG00000141753.7","ENSG00000141753.7",0.788224915439494,2.1994886805946,0.00032618246396253,"195","26","0.454651123610087",0.544733892062136,0.0144240439069098,"ENSG00000141753","IGFBP4","insulin like growth factor binding protein 4"
"ENSG00000110651.12","ENSG00000110651.12",0.481636110137973,1.6187206420857,0.00846163476235281,"175","46","0.617771821771244",0.527731810174558,0.0164514906497105,"ENSG00000110651","CD81","CD81 molecule"
"ENSG00000144485.11","ENSG00000144485.11",-0.573081965250688,0.563785192016467,0.00370756956737841,"178","43","1.7737251956252",0.557305290129718,0.0168788625720858,"ENSG00000144485","HES6","hes family bHLH transcription factor 6"
"ENSG00000157227.13","ENSG00000157227.13",1.0956271889201,2.99105805369682,0.00975687958342916,"10","211","0.334329853198283",0.525996903859499,0.00964434957846406,"ENSG00000157227","MMP14","matrix metallopeptidase 14"
"ENSG00000171863.15","ENSG00000171863.15",-0.551752287815357,0.575939713506366,0.0373474430062742,"200","21","1.73629283855409",0.527411519777932,0.0142835194877227,"ENSG00000171863","RPS7","ribosomal protein S7"
"ENSG00000110436.13","ENSG00000110436.13",0.834039704355559,2.30260180776767,0.0248795515462688,"11","210","0.434291329324319",0.519110660332034,0.0107205065322881,"ENSG00000110436","SLC1A2","solute carrier family 1 member 2"
"ENSG00000197756.10","ENSG00000197756.10",-1.09813068618203,0.333493906158391,0.00850877161430741,"209","12","2.99855554039736",0.531868894464314,0.00995322559015391,"ENSG00000197756","RPL37A","ribosomal protein L37a"
"ENSG00000106538.10","ENSG00000106538.10",0.458463711103315,1.58164225811559,0.04119377376285,"33","188","0.632254224916467",0.534884962365878,0.0159608750241641,"ENSG00000106538","RARRES2","retinoic acid receptor responder 2"
"ENSG00000198356.12","ENSG00000198356.12",-0.532637669840076,0.587054469854368,0.00427617503909217,"171","50","1.70341944632169",0.54620188971334,0.0192689073678129,"ENSG00000198356","GET3","guided entry of tail-anchored proteins factor 3, ATPase"
"ENSG00000166441.13","ENSG00000166441.13",-0.319525645857307,0.726493570586629,0.0418282901306273,"84","137","1.37647467298647",0.526957775049378,0.0211062674533762,"ENSG00000166441","RPL27A","ribosomal protein L27a"
"ENSG00000170027.7","ENSG00000170027.7",0.421407081556029,1.52410458700892,0.00679194960093651,"135","86","0.656122951484921",0.553702023167672,0.0213692493494745,"ENSG00000170027","YWHAG","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma"
"ENSG00000030582.18","ENSG00000030582.18",0.345194744489824,1.41226492370109,0.0265611229811463,"95","126","0.708082444885285",0.531815512731543,0.0222129066775732,"ENSG00000030582","GRN","granulin precursor"
